date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:45	78631/78631	---M-Z	200	added ('OK')	text/html	etag:%2213327-60d03733-8e76d0e70030e0e1;gz%22	https://www.einfosoft.com/templates/admin/spice/source/index.html	C:/Users/Shahin/Desktop/Final%20Project/Admin%20Panel/Admin%20Panel/www.einfosoft.com/templates/admin/spice/source/index.html	(from )
12:08:45	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d2431a6-8b44c993da657245;gz%22	https://www.einfosoft.com/robots.txt		(from )
12:08:45	13718/13718	---M-Z	200	added ('OK')	text/css	etag:%223596-60d0372b-4f362c633686e2f1;gz%22	https://www.einfosoft.com/templates/admin/spice/source/assets/plugins/simple-line-icons/simple-line-icons.min.css	C:/Users/Shahin/Desktop/Final%20Project/Admin%20Panel/Admin%20Panel/www.einfosoft.com/templates/admin/spice/source/assets/plugins/simple-line-icons/simple-line-icons.min.css	(from https://www.einfosoft.com/templates/admin/spice/source/index.html)
12:08:46	31002/31002	---M-Z	200	added ('OK')	text/css	etag:%22791a-60d0372b-9bbe24fbad14aa05;gz%22	https://www.einfosoft.com/templates/admin/spice/source/assets/plugins/font-awesome/css/font-awesome.min.css	C:/Users/Shahin/Desktop/Final%20Project/Admin%20Panel/Admin%20Panel/www.einfosoft.com/templates/admin/spice/source/assets/plugins/font-awesome/css/font-awesome.min.css	(from https://www.einfosoft.com/templates/admin/spice/source/index.html)
12:08:47	155764/155764	---M-Z	200	added ('OK')	text/css	etag:%2226074-60d0372c-b6f48fdf1416f126;gz%22	https://www.einfosoft.com/templates/admin/spice/source/assets/plugins/bootstrap/css/bootstrap.min.css	C:/Users/Shahin/Desktop/Final%20Project/Admin%20Panel/Admin%20Panel/www.einfosoft.com/templates/admin/spice/source/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://www.einfosoft.com/templates/admin/spice/source/index.html)
12:08:47	15537/15537	---M-Z	200	added ('OK')	text/css	etag:%223cb1-60d0372b-c460990e0800deec;gz%22	https://www.einfosoft.com/templates/admin/spice/source/assets/plugins/summernote/summernote.css	C:/Users/Shahin/Desktop/Final%20Project/Admin%20Panel/Admin%20Panel/www.einfosoft.com/templates/admin/spice/source/assets/plugins/summernote/summernote.css	(from https://www.einfosoft.com/templates/admin/spice/source/index.html)
12:08:47	435/435	---M-Z	200	added ('OK')	text/css	etag:%221b3-60d0372b-44af496005c65a5f;gz%22	https://www.einfosoft.com/templates/admin/spice/source/assets/plugins/morris/morris.css	C:/Users/Shahin/Desktop/Final%20Project/Admin%20Panel/Admin%20Panel/www.einfosoft.com/templates/admin/spice/source/assets/plugins/morris/morris.css	(from https://www.einfosoft.com/templates/admin/spice/source/index.html)
12:08:48	180662/180662	---M-Z	200	added ('OK')	text/css	etag:%222c1b6-60d0372b-f5e595220ac660c8;gz%22	https://www.einfosoft.com/templates/admin/spice/source/assets/plugins/material/material.min.css	C:/Users/Shahin/Desktop/Final%20Project/Admin%20Panel/Admin%20Panel/www.einfosoft.com/templates/admin/spice/source/assets/plugins/material/material.min.css	(from https://www.einfosoft.com/templates/admin/spice/source/index.html)
12:08:48	4512/4512	---M-Z	200	added ('OK')	text/css	etag:%2211a0-60d03733-6bb084bd9f466da4;gz%22	https://www.einfosoft.com/templates/admin/spice/source/assets/css/material_style.css	C:/Users/Shahin/Desktop/Final%20Project/Admin%20Panel/Admin%20Panel/www.einfosoft.com/templates/admin/spice/source/assets/css/material_style.css	(from https://www.einfosoft.com/templates/admin/spice/source/index.html)
12:08:48	58594/58594	---M-Z	200	added ('OK')	text/css	etag:%22e4e2-60d03733-18fae755512f0862;gz%22	https://www.einfosoft.com/templates/admin/spice/source/assets/css/pages/animate_page.css	C:/Users/Shahin/Desktop/Final%20Project/Admin%20Panel/Admin%20Panel/www.einfosoft.com/templates/admin/spice/source/assets/css/pages/animate_page.css	(from https://www.einfosoft.com/templates/admin/spice/source/index.html)
